,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
0,人工知能　AIとは,"（ア）に最もよく当てはまる選択肢を選んでください。
人工知能に関する国際会議は定期的に行われている。有名な人工知能に関する国際会議として、（ア）、（イ）、（ウ）などがある。（ア）はニューラルネットワークに関する国際会議であり、（イ）はパターン認識に関する学術会議であり、（ウ）は、機会学習の国際会議である。",CVPR,NeurIPS,ICML,ACM,2,"選択肢2が正解です。
NeurIPSとは、ニューラルネットワークに関する国際会議のことです。

選択肢1：CVPRとは、パターン認識に関する学術会議のことです。
選択肢3：ICMLとは、機械学習の国際会議のことです。
選択肢4：ACMとは、米国コンピューター学会のことで、彼らが主催するACM FATでは機械学習だけではなく、哲学などを交えて様々な議論が行われています。"
1,人工知能　AIとは,"（イ）に最もよく当てはまる選択肢を選んでください。
人工知能に関する国際会議は定期的に行われている。有名な人工知能に関する国際会議として、（ア）、（イ）、（ウ）などがある。（ア）はニューラルネットワークに関する国際会議であり、（イ）はパターン認識に関する学術会議であり、（ウ）は、機会学習の国際会議である。",CVPR,NeurIPS,ICML,ACM,1,"選択肢1が正解です。
CVPRとは、パターン認識に関する学術会議のことです。

選択肢2：NeurIPSとは、ニューラルネットワークに関する国際会議のことです。
選択肢3：ICMLとは、機械学習の国際会議のことです。
選択肢4：ACMとは、米国コンピューター学会のことで、彼らが主催するACM FATでは機械学習だけではなく、哲学などを交えて様々な議論が行われています。"
2,人工知能　AIとは,"（ウ）に最もよく当てはまる選択肢を選んでください。
人工知能に関する国際会議は定期的に行われている。有名な人工知能に関する国際会議として、（ア）、（イ）、（ウ）などがある。（ア）はニューラルネットワークに関する国際会議であり、（イ）はパターン認識に関する学術会議であり、（ウ）は、機会学習の国際会議である。",CVPR,NeurIPS,ICML,ACM,3,"選択肢3が正解です。
ICMLとは、機械学習の国際会議のことです。

選択肢1：CVPRとは、パターン認識に関する学術会議のことです。
選択肢2：NeurIPSとは、ニューラルネットワークに関する国際会議のことです。
選択肢4：ACMとは、米国コンピューター学会のことで、彼らが主催するACM FATでは機械学習だけではなく、哲学などを交えて様々な議論が行われています。"
3,人工知能　AIとは,"（ア）に最もよく当てはまる選択肢を選んでください。
1979年に設立された人工知能に関する国際的な非営利の学術団体を（ア）という。また、（ア）が主催する人工知能分野でトップの学術会議を（イ）という。",AAAI,ACM,IJCAI,CVPR,1,"選択肢1が正解です。
AAAIとは、1979年に設立された人工知能に関する国際的な非営利の学術団体のことです。

選択肢2：ACMとは、米国コンピューター学会のことで、彼らが主催するACM FATでは機械学習だけではなく、哲学などを交えて様々な議論が行われています。
選択肢3：IJCAIとは、AAAIが主催する人工知能分野でトップの学術会議のことです。
選択肢4：CVPRとは、パターン認識に関する学術会議のことです。"
4,人工知能　AIとは,"（イ）に最もよく当てはまる選択肢を選んでください。
1979年に設立された人工知能に関する国際的な非営利の学術団体を（ア）という。また、（ア）が主催する人工知能分野でトップの学術会議を（イ）という。",AAAI,ACM,IJCAI,CVPR,3,"選択肢3が正解です。
IJCAIとは、AAAIが主催する人工知能分野でトップの学術会議のことです。

選択肢1：AAAIとは、1979年に設立された人工知能に関する国際的な非営利の学術団体のことです。
選択肢2：ACMとは、米国コンピューター学会のことで、彼らが主催するACM FATでは機械学習だけではなく、哲学などを交えて様々な議論が行われています。
選択肢4：CVPRとは、パターン認識に関する学術会議のことです。"
5,人工知能　AIとは,松尾豊氏がAIに関する主張（定義）として最も適切な選択肢を選択してください。,究極には人間と区別がつかない人工的な知能のこと,知能の定義が明確でないので、人工知能を明確に定義できない,人工的に作られた人間のような知能、ないしはそれを作る技術,人の知的な振る舞いを模倣、支援、超越するための構成的なシステム,3,"選択肢3が正解です。
松尾豊氏は、AIを「人工的に作られた人間のような知能、ないしはそれを作る技術」であると主張（定義）している。

選択肢1：AIを「究極には人間と区別がつかない人工的な知能のこと」と主張（定義）しているのは、東京大学の松原仁教授です。
選択肢2：AIを「知能の定義が明確でないので、人工知能を明確に定義できない」と主張（定義）しているのは、大阪大学の浅田教授です。
選択肢4：AIを「人の知的な振る舞いを模倣、支援、超越するための構成的なシステム」と主張（定義）しているのは、慶応義塾大学の山口教授です。"
6,人工知能　AIとは,探索の説明として、最も適切な選択肢を選択してください。,様々な情報から必要な情報を探し出すこと,カーネルをスライド（移動）させる幅のこと,文章を意味を持つ最小の単位（形態素）に切り分けて解析を行うこと,知っている情報から未知の事柄を予測すること,1,"選択肢1が正解です。
探索とは、様々な情報から必要な情報を探し出すことです。

選択肢2：ストライドの説明です。ストライドとは、カーネルをスライド（移動）させる幅のことを言います。
選択肢3：形態素解析の説明です。形態素解析とは、文章を意味を持つ最小の単位（形態素）に切り分けて解析を行うことです。
選択肢4：推論の説明です。推論とは、知っている情報から未知の事柄を予測することです。"
7,人工知能　AIとは,"（ア）に最もよく当てはまる選択肢を選んでください。
人工知能と聞くと、ドラえもん（藤子・F・不二雄）のような（ア）型人工知能を想像する人が多いが、現在主流の人工知能は、（イ）型人工知能である。",汎用,特化,集中,一点,1,"選択肢1が正解です。
汎用型人工知能とは、人間と同じような、あるいは人間以上の知能があり、意識を持って行動する人工知能のことです。

選択肢2：特化型人工知能とは、特定の問題を解決することに特化した人工知能のことです。
選択肢3：「集中型人工知能」という人工知能の区分はありません。
選択肢4：「一点型人工知能」という人工知能の区分はありません。"
8,人工知能　AIとは,"（イ）に最もよく当てはまる選択肢を選んでください。
人工知能と聞くと、ドラえもん（藤子・F・不二雄）のような（ア）型人工知能を想像する人が多いが、現在主流の人工知能は、（イ）型人工知能である。",汎用,特化,集中,一点,2,"選択肢2が正解です。
特化型人工知能とは、特定の問題を解決することに特化した人工知能のことです。

選択肢1：汎用型人工知能とは、人間と同じような、あるいは人間以上の知能があり、意識を持って行動する人工知能のことです。
選択肢3：「集中型人工知能」という人工知能の区分はありません。
選択肢4：「一点型人工知能」という人工知能の区分はありません。"
9,人工知能をめぐる動向,is-aの関係として、最も適切な選択肢を選択してください。,自転車 is a サドル,人間 is a 哺乳類,車 is a タイヤ,哺乳類 is a ネコ,2,"選択肢2が正解です。
is-aの関係とは、意味ネットワークの重要な関係性の1つで、継承関係（であるの関係）を表します。例えば、「人間 is a 哺乳類」といった関係です。（人間は哺乳類である）

選択肢1：自転車とサドルの関係性は、継承関係（であるの関係）ではありません。例えば、「自転車はサドルである」とはいいません。
選択肢3：車とタイヤの関係性は、継承関係（であるの関係）ではありません。例えば、「車はタイヤである」とはいいません。
選択肢4：哺乳類とネコの関係性は、継承関係（であるの関係）ではありません。例えば、「哺乳類は猫である」とはいいません。"
